0,1,0,1
1.9531,0.93866,1.9531,0.934
3.9063,0.90734,3.9063,0.881
5.8594,0.8825,5.8594,0.867
7.8125,0.86125,7.8125,0.84
9.7656,0.8424,9.7656,0.816
11.719,0.8253,11.719,0.793
13.672,0.80958,13.672,0.854
15.625,0.79498,15.625,0.775
17.578,0.78129,17.578,0.731
19.531,0.7684,19.531,0.731
21.484,0.75619,21.484,0.763
23.438,0.74458,23.438,0.721
25.391,0.73351,25.391,0.738
27.344,0.72291,27.344,0.744
29.297,0.71274,29.297,0.711
31.25,0.70297,31.25,0.683
33.203,0.69356,33.203,0.685
35.156,0.68447,35.156,0.671
37.109,0.6757,37.109,0.662
39.063,0.6672,39.063,0.643
41.016,0.65897,41.016,0.69
42.969,0.65099,42.969,0.683
44.922,0.64323,44.922,0.65
46.875,0.6357,46.875,0.674
48.828,0.62837,48.828,0.633
50.781,0.62123,50.781,0.609
52.734,0.61428,52.734,0.641
54.688,0.6075,54.688,0.622
56.641,0.60088,56.641,0.555
58.594,0.59443,58.594,0.595
60.547,0.58812,60.547,0.608
62.5,0.58195,62.5,0.575
64.453,0.57592,64.453,0.584
66.406,0.57002,66.406,0.608
68.359,0.56425,68.359,0.566
70.313,0.5586,70.313,0.559
72.266,0.55306,72.266,0.576
74.219,0.54763,74.219,0.576
76.172,0.54231,76.172,0.562
78.125,0.53709,78.125,0.55
80.078,0.53197,80.078,0.517
82.031,0.52695,82.031,0.524
83.984,0.52202,83.984,0.541
85.938,0.51717,85.938,0.534
87.891,0.51242,87.891,0.556
89.844,0.50774,89.844,0.529
91.797,0.50315,91.797,0.492
93.75,0.49863,93.75,0.508
95.703,0.4942,95.703,0.483
97.656,0.48983,97.656,0.507
99.609,0.48554,99.609,0.481
101.56,0.48131,101.56,0.467
103.52,0.47715,103.52,0.466
105.47,0.47306,105.47,0.443
107.42,0.46903,107.42,0.454
109.38,0.46506,109.38,0.482
111.33,0.46116,111.33,0.504
113.28,0.45731,113.28,0.442
115.23,0.45352,115.23,0.476
117.19,0.44978,117.19,0.426
119.14,0.4461,119.14,0.49
121.09,0.44247,121.09,0.413
123.05,0.43889,123.05,0.41
125,0.43536,125,0.457
126.95,0.43188,126.95,0.418
128.91,0.42845,128.91,0.409
130.86,0.42507,130.86,0.422
132.81,0.42173,132.81,0.385
134.77,0.41844,134.77,0.436
136.72,0.41519,136.72,0.413
138.67,0.41198,138.67,0.386
140.63,0.40881,140.63,0.417
142.58,0.40569,142.58,0.392
144.53,0.40261,144.53,0.428
146.48,0.39956,146.48,0.399
148.44,0.39655,148.44,0.4
150.39,0.39358,150.39,0.363
152.34,0.39065,152.34,0.428
154.3,0.38775,154.3,0.442
156.25,0.38489,156.25,0.397
158.2,0.38206,158.2,0.412
160.16,0.37927,160.16,0.395
162.11,0.37651,162.11,0.364
164.06,0.37378,164.06,0.365
166.02,0.37108,166.02,0.377
167.97,0.36842,167.97,0.339
169.92,0.36579,169.92,0.38
171.88,0.36318,171.88,0.358
173.83,0.36061,173.83,0.356
175.78,0.35807,175.78,0.363
177.73,0.35555,177.73,0.335
179.69,0.35306,179.69,0.377
181.64,0.3506,181.64,0.357
183.59,0.34817,183.59,0.352
185.55,0.34576,185.55,0.351
187.5,0.34338,187.5,0.371
189.45,0.34103,189.45,0.325
191.41,0.3387,191.41,0.361
193.36,0.33639,193.36,0.346
195.31,0.33411,195.31,0.352
197.27,0.33185,197.27,0.309
199.22,0.32962,199.22,0.322
201.17,0.32741,201.17,0.339
203.13,0.32523,203.13,0.287
205.08,0.32306,205.08,0.316
207.03,0.32092,207.03,0.33
208.98,0.3188,208.98,0.319
210.94,0.3167,210.94,0.295
212.89,0.31463,212.89,0.275
214.84,0.31257,214.84,0.313
216.8,0.31053,216.8,0.289
218.75,0.30852,218.75,0.272
220.7,0.30652,220.7,0.286
222.66,0.30454,222.66,0.295
224.61,0.30259,224.61,0.294
226.56,0.30065,226.56,0.303
228.52,0.29873,228.52,0.262
230.47,0.29683,230.47,0.302
232.42,0.29495,232.42,0.314
234.38,0.29308,234.38,0.278
236.33,0.29123,236.33,0.293
238.28,0.2894,238.28,0.297
240.23,0.28759,240.23,0.313
242.19,0.28579,242.19,0.275
244.14,0.28401,244.14,0.273
246.09,0.28225,246.09,0.275
248.05,0.28051,248.05,0.268
250,0.27877,250,0.29
